# 1station, 2Longitude, 3Latitude, 4NumberOfMeasurements, 5ResultantLength, 6FastDirection(EastOfNorth), 7DelayTime, 8StdOfDelayTime
       SPF, -118.64614,   34.05933,        164,     0.26,     86.0,    0.103,    0.118
       SPG, -118.81099,   36.13550,          8,     0.97,    -20.0,    0.086,    0.030
      SPG2, -118.76624,   36.20057,         10,     0.90,      0.5,    0.023,    0.029
       SRN, -117.78938,   33.82854,       1580,     0.28,     12.0,    0.120,    0.100
       SRT, -117.75051,   35.69235,         20,     0.90,     33.2,    0.054,    0.039
       SSC, -119.63513,   33.99546,          8,     0.90,      4.0,    0.049,    0.071
       SSW, -115.61564,   33.17747,        704,     0.42,     31.0,    0.089,    0.134
       STC, -119.18676,   34.30302,        142,     0.27,      1.0,    0.190,    0.146
       STG, -117.76856,   33.66400,         94,     0.75,     18.0,    0.082,    0.092
       STS, -118.19878,   33.79033,        162,     0.60,     28.0,    0.138,    0.077
       SVD, -117.09822,   34.10647,       6230,     0.10,    -56.0,    0.169,    0.121
       SWS, -115.79988,   32.94508,        846,     0.45,    -45.0,    0.129,    0.087
       SYL, -118.45098,   34.35360,       1104,     0.20,     82.0,    0.153,    0.091
       SYN, -120.06960,   34.60723,          8,     0.51,     54.0,    0.202,    0.109
       SYP, -119.97834,   34.52775,         50,     0.42,     54.5,    0.180,    0.078
       TA2, -117.67822,   34.38203,        782,     0.28,    -78.0,    0.186,    0.150
       TAB, -117.68191,   34.38245,         14,     0.34,    -84.1,    0.447,    0.369
       TCF, -118.59900,   34.08377,         16,     0.15,     23.1,    0.130,    0.048
       TEH, -118.42079,   35.29130,        128,     0.08,     -5.0,    0.056,    0.085
       TEJ, -118.68878,   35.23107,         12,     0.51,    -50.0,    0.066,    0.066
       TFT, -119.41946,   35.14592,        160,     0.55,     35.5,    0.094,    0.132
       THC, -118.66443,   34.90853,          4,     0.80,     40.0,    0.154,    0.108
       THM, -116.07734,   33.65066,         14,     0.34,     28.0,    0.093,    0.080
       THX, -116.16402,   33.63495,         10,     0.91,     51.6,    0.095,    0.037
       TIN, -118.23009,   37.05422,         66,     0.15,     75.0,    0.115,    0.097
       TJR, -118.74373,   35.02722,         20,     0.91,    -30.5,    0.078,    0.029
       TJX, -117.05430,   32.51017,          6,     0.75,    -50.0,    0.113,    0.071
       TKX, -116.60750,   32.56870,          8,     0.61,      0.5,    0.017,    0.020
       TM3, -119.53593,   35.08691,         12,     0.39,    -35.5,    0.179,    0.045
       TOR, -116.22584,   33.57526,         72,     0.64,     24.5,    0.080,    0.074
       TOV, -118.82039,   34.15607,         64,     0.44,     -5.5,    0.072,    0.089
      TOW2, -117.76488,   35.80856,          6,     0.99,    -37.5,    0.103,    0.048
       TRO, -116.42570,   33.52340,      25812,     0.33,    -71.0,    0.109,    0.086
      UABX, -115.44470,   32.63160,         26,     0.22,     -6.6,    0.106,    0.059
       USB, -119.84270,   34.41300,          2,     1.00,     65.5,    0.037,    0.000
       USC, -118.28631,   34.01919,        950,     0.26,    -36.0,    0.105,    0.097
       USG, -115.84949,   32.78592,        334,     0.50,    -36.0,    0.124,    0.090
      V04C, -120.86990,   35.63600,          8,     0.29,      4.9,    0.068,    0.054
      V05C, -119.90280,   35.86670,          6,     0.48,    -81.0,    0.119,    0.069
       VCS, -118.11781,   34.48372,        860,     0.08,     88.0,    0.072,    0.135
       VES, -119.08469,   35.84089,         68,     0.48,    -26.0,    0.093,    0.058
       VLY, -117.15806,   33.73615,          4,     0.85,    -75.5,    0.038,    0.004
       VOG, -119.38226,   36.32098,          2,     1.00,     75.5,    0.109,    0.000
       VPD, -120.86900,   35.23990,          6,     0.37,    -27.0,    0.193,    0.090
       VRD, -118.27964,   34.21459,         22,     0.37,     45.6,    0.207,    0.145
       VTV, -117.32960,   34.56065,         10,     0.65,      0.5,    0.065,    0.078
      WAGN, -115.92888,   32.69145,       2044,     0.56,    -10.0,    0.093,    0.072
      WAS2, -118.55743,   35.73770,          2,     1.00,     35.5,    0.033,    0.000
       WBS, -118.14035,   35.53664,        130,     0.45,     22.0,    0.125,    0.127
       WER, -119.02711,   35.06053,        224,     0.29,     -2.5,    0.298,    0.261
       WES, -115.73161,   32.75904,       2406,     0.37,     -1.0,    0.101,    0.078
       WGR, -119.27407,   34.51085,        326,     0.38,    -76.7,    0.120,    0.086
       WHF, -118.35183,   35.69513,         94,     0.34,    -37.0,    0.104,    0.119
       WIN, -117.10366,   33.68299,        140,     0.58,    -79.0,    0.093,    0.074
      WLH2, -118.31319,   36.15207,          6,     0.39,    -15.0,    0.241,    0.007
       WLT, -117.95077,   34.00948,        244,     0.31,     31.0,    0.090,    0.078
       WMC, -116.67470,   33.57360,      23618,     0.39,     -5.0,    0.095,    0.086
       WMD, -115.58191,   33.03826,         58,     0.74,     23.0,    0.148,    0.075
       WNM, -117.90616,   35.84220,          6,     0.46,     43.5,    0.065,    0.026
       WNS, -118.38000,   34.11500,         66,     0.29,     79.0,    0.063,    0.054
       WOR, -118.24246,   35.69563,          2,     1.00,    -72.5,    0.018,    0.000
      WRC2, -117.65038,   35.94790,         66,     0.26,    -60.0,    0.152,    0.079
      WRV2, -117.89040,   36.00774,         18,     0.37,    -17.0,    0.083,    0.106
       WSS, -118.64971,   34.17170,        266,     0.46,    -32.5,    0.075,    0.103
       WTT, -118.25547,   33.94869,        408,     0.51,     29.0,    0.146,    0.147
      WTT2, -118.25539,   33.94867,        262,     0.59,     35.0,    0.109,    0.080
       WWC, -116.40876,   33.94068,        850,     0.65,     20.0,    0.138,    0.069
       YAQ, -116.35386,   33.16661,        346,     0.63,    -26.0,    0.139,    0.100
       YUC, -116.40576,   34.19675,        104,     0.56,     24.0,    0.072,    0.082
      YUH2, -115.92227,   32.64752,         92,     0.39,    -15.5,    0.087,    0.111
