# 1station, 2Longitude, 3Latitude, 4NumberOfMeasurements, 5ResultantLength, 6FastDirection(EastOfNorth), 7DelayTime, 8StdOfDelayTime
       CAP, -117.19495,   33.38822,         14,     0.75,     85.0,    0.107,    0.102
       CAR, -119.84583,   35.30819,         26,     0.64,    -32.5,    0.104,    0.047
       CBC, -118.12750,   34.14011,         34,     0.46,     40.1,    0.092,    0.049
       CBX, -116.66360,   32.31310,         12,     0.39,    -77.5,    0.202,    0.087
       CCA, -118.01649,   35.15252,          6,     0.26,     -7.4,    0.023,    0.010
       CCC, -117.36453,   35.52495,         50,     0.47,     45.5,    0.070,    0.058
       CFS, -117.28287,   34.10539,        338,     0.60,      5.0,    0.121,    0.071
       CFT, -117.11241,   34.03547,       1150,     0.41,     45.0,    0.128,    0.084
       CGO, -117.80295,   36.55040,         40,     0.31,    -68.0,    0.132,    0.065
       CHF, -118.02585,   34.33341,         26,     0.44,      0.5,    0.014,    0.016
       CHI, -119.22244,   34.18156,          4,     0.91,     71.5,    0.145,    0.039
       CHN, -117.68044,   33.99879,        626,     0.61,     28.0,    0.072,    0.063
       CIA, -118.41502,   33.40190,          4,     0.99,      8.0,    0.194,    0.002
       CJM, -117.42448,   34.27117,        782,     0.20,    -55.0,    0.146,    0.093
      CJV2, -118.14450,   34.52978,         34,     0.47,    -66.5,    0.153,    0.120
       CLC, -117.59751,   35.81574,       3642,     0.49,      5.0,    0.117,    0.107
       CLI, -115.52658,   33.14029,         60,     0.32,     -8.0,    0.123,    0.087
       CLT, -117.31687,   34.09284,       1884,     0.41,     38.0,    0.200,    0.137
      COK2, -115.72840,   32.85053,         16,     0.31,     18.4,    0.108,    0.053
       COO, -118.21639,   33.89604,         20,     0.41,     23.0,    0.199,    0.148
      COON, -115.95085,   32.75394,        694,     0.32,    -41.0,    0.072,    0.083
       CPP, -117.80900,   34.06020,         66,     0.72,      0.8,    0.136,    0.179
       CPX, -115.30500,   32.41950,        336,     0.08,     -8.0,    0.220,    0.127
       CRN, -117.56106,   33.87574,         24,     0.66,     -1.5,    0.028,    0.039
       CRP, -118.12705,   34.13624,         26,     0.53,     47.0,    0.255,    0.335
       CRR, -115.96918,   32.88682,         48,     0.66,      2.0,    0.146,    0.042
       CRY, -116.73730,   33.56540,      39124,     0.55,      9.0,    0.091,    0.057
      CSLB, -118.11260,   33.77930,          2,     1.00,     -3.5,    0.054,    0.000
       CTC, -115.99006,   33.65516,        506,     0.54,     36.0,    0.123,    0.098
       CVW, -118.93913,   34.92217,        104,     0.17,     58.3,    0.157,    0.149
       CWC, -118.08016,   36.43988,         10,     0.88,    -57.0,    0.043,    0.006
       CZN, -116.78409,   33.91375,         20,     0.43,     17.5,    0.073,    0.040
       DCD, -120.84084,   35.21217,         14,     0.44,     31.0,    0.087,    0.133
       DEC, -118.33383,   34.25353,        396,     0.48,    -47.0,    0.147,    0.127
       DEV, -116.57794,   33.93597,       1446,     0.17,    -10.0,    0.108,    0.110
       DGR, -117.00947,   33.65001,       1992,     0.40,    -66.0,    0.073,    0.078
       DJJ, -118.45505,   34.10618,        678,     0.39,     62.0,    0.121,    0.143
       DLA, -118.09624,   33.84822,        158,     0.34,      4.6,    0.179,    0.127
       DNR, -116.63056,   33.56667,      20718,     0.43,    -13.0,    0.135,    0.107
       DPD, -120.78167,   35.23300,          4,     0.28,    -59.5,    0.163,    0.166
       DPP, -116.94187,   32.99889,         42,     0.62,    -30.3,    0.043,    0.101
       DRC, -115.44654,   32.80540,        212,     0.46,     32.0,    0.175,    0.130
       DRE, -115.44679,   32.80532,       2300,     0.31,     31.0,    0.168,    0.127
       DVT, -116.10061,   32.65915,       2476,     0.33,      5.0,    0.128,    0.099
       ELC, -115.53560,   32.78140,         12,     0.67,    -73.0,    0.170,    0.061
      ELS2, -117.42604,   33.64907,         14,     0.77,    -17.5,    0.070,    0.049
       EML, -116.84566,   32.89083,         80,     0.37,     78.5,    0.085,    0.110
       ERR, -115.82267,   33.11675,        126,     0.77,      9.0,    0.116,    0.062
       ESI, -117.32643,   33.67388,          8,     0.05,    -34.3,    0.129,    0.111
       EW2, -116.40839,   33.94059,        196,     0.33,     11.0,    0.112,    0.082
       EWC, -116.38216,   33.93724,        268,     0.24,    -19.6,    0.107,    0.094
       FHO, -116.93588,   34.09355,       3258,     0.08,     -1.0,    0.125,    0.112
       FIG, -119.98803,   34.72832,          8,     0.98,    -57.0,    0.102,    0.033
       FLL, -118.91807,   34.39727,         42,     0.27,     20.0,    0.183,    0.123
       FLS, -117.03909,   34.97036,         30,     0.69,     -1.0,    0.104,    0.088
       FMP, -118.29381,   33.71264,        174,     0.66,    -11.5,    0.139,    0.092
       FON, -117.43876,   34.09957,        688,     0.21,     -9.5,    0.062,    0.049
       FPC, -117.58267,   35.08200,         16,     0.76,     -3.5,    0.079,    0.050
       FRD, -116.60220,   33.49470,      31826,     0.51,     23.0,    0.062,    0.062
       FRM, -118.96935,   34.77518,         32,     0.55,      0.5,    0.074,    0.041
       FUL, -117.92251,   33.87170,        298,     0.45,     -5.5,    0.153,    0.092
       FUR, -116.86322,   36.46719,         36,     0.39,     -8.5,    0.130,    0.082
      GATR, -120.50235,   34.55266,         10,     0.25,      8.1,    0.254,    0.238
       GAV, -117.50492,   34.02248,        224,     0.27,    -32.5,    0.079,    0.084
       GLA, -114.82706,   33.05149,          6,     0.19,     24.6,    0.073,    0.038
       GMA, -116.38256,   34.29148,        174,     0.50,      8.0,    0.090,    0.060
       GOR, -117.22921,   33.15370,         20,     0.04,    -68.0,    0.262,    0.381
       GPO, -117.66190,   35.64940,          8,     0.43,     22.0,    0.133,    0.094
       GR2, -118.30024,   34.11816,         76,     0.38,     88.0,    0.123,    0.164
       GRA, -117.36621,   36.99608,          8,     0.43,    -34.5,    0.173,    0.107
       GRF, -118.30040,   34.11920,          4,     0.89,    -81.0,    0.079,    0.019
       GRH, -118.55954,   34.30803,       1328,     0.05,    -54.0,    0.207,    0.130
       GSA, -118.12830,   34.13677,        100,     0.56,     43.0,    0.092,    0.059
       GSC, -116.80574,   35.30177,          8,     0.74,    -10.5,    0.043,    0.019
     GUVIX, -115.07600,   32.30290,         12,     0.72,     51.7,    0.071,    0.081
      GVBC, -115.07640,   32.30280,         16,     0.56,    -25.0,    0.169,    0.135
       GVR, -118.11995,   34.04972,        178,     0.22,    -80.6,    0.108,    0.090
       HEC, -116.33500,   34.82940,       2854,     0.50,      8.0,    0.126,    0.145
       HLL, -118.35967,   34.17643,        108,     0.60,     -3.0,    0.085,    0.174
       HLN, -117.21897,   34.12128,        516,     0.49,     11.0,    0.123,    0.073
       HMT, -117.00392,   33.70883,        796,     0.31,      3.0,    0.112,    0.084
      HMT2, -117.00152,   33.70811,        398,     0.30,      7.0,    0.105,    0.070
       HOL, -117.84539,   34.45831,        118,     0.27,     -5.5,    0.177,    0.143
       HWB, -116.95960,   33.02620,         24,     0.88,    -43.0,    0.046,    0.004
       IBP, -116.09290,   32.66115,        564,     0.26,     42.0,    0.184,    0.140
       IDO, -116.22152,   33.79678,        846,     0.17,     22.0,    0.177,    0.115
       IDQ, -116.23897,   33.76795,         66,     0.30,     11.5,    0.096,    0.078
       IDY, -116.71536,   33.74642,        292,     0.46,    -57.0,    0.069,    0.073
       IKP, -116.10948,   32.65012,        108,     0.57,     10.0,    0.095,    0.110
       IMP, -115.56071,   32.90147,        212,     0.68,    -13.0,    0.100,    0.066
       IND, -116.23040,   33.81673,         66,     0.07,    -26.4,    0.140,    0.087
       IPT, -117.28498,   34.19701,       1042,     0.50,    -49.0,    0.207,    0.117
       ISA, -118.47403,   35.66278,       1440,     0.49,      8.0,    0.122,    0.097
       JAB, -118.49670,   34.31092,         92,     0.56,    -43.0,    0.121,    0.073
       JCS, -116.59590,   33.08590,        584,     0.25,    -79.0,    0.118,    0.117
       JEM, -116.59755,   33.08098,       1428,     0.21,    -85.0,    0.105,    0.080
       JFP, -122.18986,   37.36045,         94,     0.51,    -61.3,    0.116,    0.067
       JGB, -118.49918,   34.31313,         48,     0.69,    -17.0,    0.118,    0.059
      JNH2, -117.95541,   34.44894,        100,     0.46,    -28.0,    0.066,    0.069
       JRC, -117.80760,   35.98230,        262,     0.60,     32.0,    0.087,    0.076
      JRC2, -117.80885,   35.98249,        544,     0.45,     11.0,    0.099,    0.089
       JVA, -116.61266,   34.36622,        304,     0.53,     19.0,    0.114,    0.107
       KIK, -118.10156,   34.15037,         32,     0.62,      0.5,    0.061,    0.053
       KML, -117.87909,   33.59738,         42,     0.40,     34.0,    0.097,    0.058
       KNW, -116.71190,   33.71410,      36526,     0.80,    -35.0,    0.070,    0.042
       KYV, -116.17340,   33.92545,         70,     0.34,     77.5,    0.097,    0.119
       LAF, -118.33143,   33.86889,        686,     0.60,     25.0,    0.136,    0.099
       LAT, -118.77643,   34.04449,          2,     1.00,    -23.5,    0.154,    0.000
       LAX, -118.41390,   33.94382,         90,     0.44,    -24.0,    0.116,    0.059
      LBW1, -118.08837,   33.79800,         40,     0.20,     15.2,    0.256,    0.253
       LCG, -118.37794,   34.00033,       1516,     0.50,     18.0,    0.106,    0.113
       LCP, -120.27996,   34.73551,         42,     0.13,    -16.5,    0.171,    0.114
       LDR, -118.34156,   34.99060,         70,     0.44,    -74.0,    0.110,    0.165
       LEO, -118.30505,   34.63064,          8,     0.38,    -18.5,    0.084,    0.032
       LEV, -118.28927,   34.61405,         36,     0.22,     51.9,    0.132,    0.119
       LFP, -118.48805,   34.30529,       1264,     0.36,    -84.0,    0.130,    0.140
       LGB, -118.14918,   33.97530,        218,     0.61,     -4.0,    0.161,    0.132
       LGU, -119.06587,   34.10819,        206,     0.38,     33.5,    0.146,    0.093
       LJR, -118.86775,   34.80762,        636,     0.54,    -43.5,    0.114,    0.133
       LKH, -116.75876,   33.23598,        176,     0.26,    -30.8,    0.200,    0.119
       LKL, -117.82493,   34.61594,          2,     1.00,     47.5,    0.035,    0.000
       LLS, -117.94304,   33.68447,        168,     0.25,    -51.0,    0.071,    0.090
       LMH, -117.39135,   33.74418,          4,     0.72,     25.5,    0.099,    0.002
       LMS, -117.44500,   33.81744,          6,     0.51,    -47.9,    0.050,    0.043
       LMY, -119.10391,   34.73316,          2,     1.00,    -44.5,    0.069,    0.000
       LOC, -120.44690,   34.69073,          6,     0.96,     56.5,    0.052,    0.002
       LPC, -117.54642,   34.31478,        462,     0.47,    -41.0,    0.088,    0.058
       LRL, -117.68212,   35.47954,         76,     0.48,     36.0,    0.061,    0.073
      LRR2, -118.02998,   34.52706,         64,     0.31,    -52.0,    0.082,    0.078
       LT2, -117.99099,   34.52149,         32,     0.53,      7.0,    0.082,    0.076
       LTP, -118.17568,   33.88110,        168,     0.14,     21.0,    0.244,    0.223
       LTR, -117.99030,   34.52110,          2,     1.00,    -60.5,    0.040,    0.000
      LUC2, -116.96423,   34.45638,         12,     0.83,     13.8,    0.115,    0.051
       LUG, -117.36683,   34.36560,         34,     0.59,      0.5,    0.018,    0.024
      LVA2, -116.56150,   33.35160,       1702,     0.65,     35.0,    0.147,    0.084
       MAG, -118.92282,   35.36165,         32,     0.42,     -4.0,    0.047,    0.077
       MCT, -116.04073,   34.22645,         16,     0.50,      1.5,    0.018,    0.015
       MGD, -116.76064,   33.18884,       1368,     0.27,    -47.0,    0.103,    0.097
       MGE, -116.36874,   33.81841,         52,     0.52,     23.0,    0.114,    0.091
       MHC, -121.64257,   37.34164,          8,     0.55,     62.5,    0.071,    0.047
       MIK, -118.12601,   34.13688,         40,     0.36,     45.0,    0.147,    0.094
      MIKB, -118.12601,   34.13688,         24,     0.73,     40.5,    0.123,    0.156
      MLDN, -115.82495,   32.65202,       4484,     0.66,    -12.5,    0.104,    0.072
       MLS, -117.56162,   34.00460,        626,     0.68,     -7.5,    0.079,    0.108
       MNO, -117.17278,   33.94738,         98,     0.21,    -16.2,    0.100,    0.078
      MONP, -116.42250,   32.89270,        238,     0.50,    -15.5,    0.131,    0.086
     MONP2, -116.42230,   32.89200,        862,     0.62,    -23.0,    0.147,    0.080
       MOP, -118.90469,   34.28096,        106,     0.20,    -25.5,    0.163,    0.190
       MOR, -117.13993,   33.50388,          2,     1.00,    -34.5,    0.080,    0.000
       MPI, -119.14530,   34.81258,        374,     0.38,     74.0,    0.105,    0.053
       MPM, -117.48901,   36.05799,        466,     0.62,    -40.0,    0.104,    0.095
       MPP, -119.81362,   34.88848,         24,     0.51,    -66.0,    0.177,    0.133
       MSC, -116.64795,   34.03852,       4626,     0.24,     -6.5,    0.126,    0.100
       MSJ, -116.96789,   33.80801,       2220,     0.31,     11.0,    0.172,    0.146
       MTG, -116.64727,   33.19915,        152,     0.19,    -82.0,    0.109,    0.064
       MUR, -117.19543,   33.59999,        566,     0.55,    -66.5,    0.159,    0.103
       MWC, -118.05832,   34.22362,        126,     0.20,    -50.5,    0.116,    0.147
       NBS, -116.55798,   34.78035,         16,     0.78,      0.2,    0.034,    0.027
       NHL, -118.59946,   34.39148,        524,     0.29,     -9.2,    0.135,    0.101
       NJQ, -120.17737,   34.53412,          6,     0.99,     80.2,    0.084,    0.043
       NOT, -118.55829,   34.22869,        268,     0.37,     38.0,    0.094,    0.083
       NSS, -115.94650,   33.55610,          6,     0.89,    -23.3,    0.090,    0.051
      NSS2, -115.94586,   33.55553,        288,     0.35,     -9.5,    0.088,    0.084
