Latitude,Longitude,Top of breakouts (m),Bottom of breakouts (m),SHmax azimuth (degEofN),standard deviation of azimuth (deg),functional uncertainty (deg),Quality,SHmax from Y&H 2013,Reference,Locality or well name,WSM ID if included,Region,Comment and/or well abbreviation within reference,Order number in Jeanne's Results,Sub-Region,Order Number within reference,Order number in v1,Geologic Context,Geologic Context Number,Order number here
34.3042,-118.8833,1605,2209,52,11,11,1,-12.0488002,Wilde and Stock [1997],Shiells 8,,EastVenturaTransverse,SH8,22,Northridge/East Ventura/Transverse Ranges,26,18,mid basin no shallow Eqs,5,47
34.3035,-118.7225,155,687,36,11,11,1,14.9657663,Wilde and Stock [1997],Tapo Fee 260,,EastVenturaTransverse,TF260,29,Northridge/East Ventura/Transverse Ranges,31,23,mid basin no shallow Eqs,5,48
34.3500,-118.7063,200,282,65,19,19,1,11.2900002,Wilde and Stock [1997],Gillibrand 24,,EastVenturaTransverse,G24,30,Northridge/East Ventura/Transverse Ranges,27,24,mid basin no shallow Eqs,5,49
34.2718,-118.4737,73,2256,116,0.3,10,1,25.44594588,Kerkela and Stock [1996],Unocal San Fernando Area,,San Fernando Valley,San Fernando 1-9,40,Northridge/East Ventura/Transverse Ranges,8,33,mid basin no shallow Eqs,5,50
34.0080,-118.3683,568,604,98,5,10,1,24.93012476,Wilde and Stock [1997],VRU 258,,WestLosAngeles,VR258 - shallower,43,West Los Angeles Basin,49,51,mid basin no shallow Eqs,5,51
33.9560,-118.3350,147,215,139,8,10,1,21.5617536,Wilde and Stock [1997],Turf 1,,WestLosAngeles,T1- shallower,46,West Los Angeles Basin,46,54,mid basin no shallow Eqs,5,52
33.9400,-118.0667,387,504,87,19,19,1,-1.158864091,Wilde and Stock [1997],SFSU 374-C,,EastLosAngeles,SFSU374 -third region,52,East Los Angeles Basin,65,6,mid basin no shallow Eqs,5,53
33.9457,-118.0650,397,1250,73,11,11,1,-1.733674272,Wilde and Stock [1997],SFSU 494-C,,EastLosAngeles,SFSU494 -third region,53,East Los Angeles Basin,66,7,mid basin no shallow Eqs,5,54
33.9029,-117.9733,1136,1136,174,0,10,1,-4.650518413,Wilde and Stock [1997],Murphy Coyote 375,,EastLosAngeles,MC375,55,East Los Angeles Basin,58,11,mid basin no shallow Eqs,5,55
33.9075,-117.9698,1046,1236,169,4,10,1,-5.006919327,Wilde and Stock [1997],Murphy Coyote 374,,EastLosAngeles,MC374,57,East Los Angeles Basin,57,12,mid basin no shallow Eqs,5,56
33.9281,-117.9531,1020,1242,178,6,10,C,-4.668743733,Mount and Suppe [1992],MurphyCoyot,wsm01110,CA95,MOUNSU90 #V29,58,East Los Angeles Basin,,13,mid basin no shallow Eqs,5,57
